date,product,category,quantity,unit_price,region,sales_rep,customer_type
2026-01-05,Widget A,Electronics,45,15.99,North,Sarah,Enterprise
2026-01-07,Gadget B,Electronics,32,29.99,South,Mike,SMB
2026-01-10,Widget A,Electronics,60,15.99,East,Sarah,Individual
2026-01-12,Server Rack,Infrastructure,5,1200.00,North,Alex,Enterprise
2026-01-15,Gadget B,Electronics,28,29.99,West,Mike,Individual
2026-01-18,Widget A,Electronics,55,15.99,South,Sarah,SMB
2026-01-20,Cable Kit,Accessories,120,4.50,North,Lisa,Individual
2026-01-22,Server Rack,Infrastructure,8,1200.00,East,Alex,Enterprise
2026-01-25,Gadget B,Electronics,40,29.99,North,Mike,SMB
2026-01-28,Cable Kit,Accessories,95,4.50,South,Lisa,Enterprise
2026-02-01,Widget A,Electronics,50,16.99,West,Sarah,Individual
2026-02-03,Smart Hub,IoT,35,79.99,North,Tom,Enterprise
2026-02-05,Gadget B,Electronics,30,30.99,South,Mike,SMB
2026-02-08,Server Rack,Infrastructure,6,1250.00,East,Alex,Enterprise
2026-02-10,Widget A,Electronics,65,16.99,North,Sarah,Individual
2026-02-12,Cable Kit,Accessories,110,4.99,West,Lisa,SMB
2026-02-15,Smart Hub,IoT,28,79.99,South,Tom,Enterprise
2026-02-18,Gadget B,Electronics,38,30.99,East,Mike,Individual
2026-02-20,Widget A,Electronics,42,16.99,North,Sarah,Enterprise
2026-02-22,Cable Kit,Accessories,80,4.99,South,Lisa,Individual
2026-03-01,Smart Hub,IoT,45,82.00,West,Tom,SMB
2026-03-03,Gadget B,Electronics,33,31.50,North,Mike,Enterprise
2026-03-05,Server Rack,Infrastructure,7,1250.00,South,Alex,Enterprise
2026-03-08,Widget A,Electronics,58,17.50,East,Sarah,SMB
2026-03-10,Cable Kit,Accessories,100,5.00,North,Lisa,Individual
2026-03-12,Smart Hub,IoT,30,82.00,West,Tom,Enterprise
2026-03-15,Gadget B,Electronics,36,31.50,South,Mike,Individual
2026-03-18,Widget A,Electronics,48,17.50,North,Sarah,Enterprise
2026-03-20,Server Rack,Infrastructure,4,1300.00,East,Alex,SMB
2026-03-22,Cable Kit,Accessories,90,5.00,West,Lisa,Enterprise
